TrialNum,Card,Rule,RespTime,StartX, StartY, EndX, EndY,MouseVeloc,Misclicks,Error,Streak,ResponseColor,ResponseShape,ResponseCount,CategoryComplete
1,1,0,2.752112973947078, -0.12109375, 0.07291666666666667, -0.2942708333333333, 0.3528645833333333, 0.11961083479878841, 0,0,1,0,3,3,0,
2,4,0,1.664352417574264, -0.35546875, 0.05859375, 0.3177083333333333, 0.3216145833333333, 0.4342445777912434, 0,0,2,2,1,1,0,
3,1,0,1.4544900340260938, 0.19791666666666666, -0.03515625, -0.25390625, 0.19921875, 0.349947179009207, 0,0,3,0,0,2,0,
4,2,0,1.0548250722931698, -0.15364583333333334, -0.16927083333333334, -0.06510416666666667, 0.20963541666666666, 0.36888944019449776, 0,0,4,1,3,3,0,
5,3,0,1.0177777000935748, -0.06510416666666667, 0.20963541666666666, 0.07291666666666667, 0.26171875, 0.14494415378564585, 0,0,5,3,0,1,0,
6,4,0,1.012981150415726, 0.07291666666666667, 0.26171875, 0.3059895833333333, 0.3046875, 0.23396351305218566, 0,0,6,2,2,0,1,
7,3,2,3.529850739520043, 0.3059895833333333, 0.3046875, 0.10546875, 0.2981770833333333, 0.056837104139104845, 0,1,0,2,3,1,0,
8,1,2,3.0416151989484206, 0.109375, 0.3033854166666667, -0.3072916666666667, 0.3294270833333333, 0.13725591446089683, 0,0,1,3,2,0,0,
9,3,2,1.7902078303741291, -0.22786458333333334, 0.24739583333333334, 0.09244791666666667, 0.3268229166666667, 0.18434355256635732, 0,0,2,1,1,2,0,
10,1,2,2.49681370111648, 0.09244791666666667, 0.3268229166666667, -0.2903645833333333, 0.2916666666666667, 0.15396560341114074, 0,0,3,3,0,0,0,
11,3,2,2.606375249568373, -0.2903645833333333, 0.2916666666666667, 0.11328125, 0.3541666666666667, 0.15671415064641792, 0,0,4,2,1,2,0,
12,4,2,1.3287681181682274, 0.16927083333333334, 0.2955729166666667, 0.29296875, 0.2760416666666667, 0.09424546184738065, 0,0,5,0,2,3,0,
13,2,2,0.9122403475921601, 0.2955729166666667, 0.28125, -0.10677083333333333, 0.3307291666666667, 0.44437273864721216, 0,0,6,3,1,1,1,
14,3,0,5.906720865052193, -0.10416666666666667, 0.3307291666666667, 0.06380208333333333, 0.3138020833333333, 0.028580918983766627, 0,0,7,3,1,3,0,
15,2,0,1.6905702610965818, 0.06380208333333333, 0.3138020833333333, -0.036458333333333336, 0.3203125, 0.05943058019562536, 0,0,8,1,0,0,0,
16,4,0,3.277749668690376, -0.036458333333333336, 0.3203125, 0.28515625, 0.2591145833333333, 0.09988111316473851, 0,0,9,2,2,2,0,
17,1,0,1.195163551834412, 0.28515625, 0.2591145833333333, -0.3033854166666667, 0.3385416666666667, 0.4969002383293079, 0,0,10,0,2,2,0,
18,3,0,1.286338075180538, -0.2955729166666667, 0.3424479166666667, 0.11588541666666667, 0.3072916666666667, 0.3210334347182546, 0,0,11,3,2,3,0,
19,1,0,0.9189546733396128, 0.11588541666666667, 0.3072916666666667, -0.29296875, 0.3541666666666667, 0.447826762181756, 0,0,12,0,0,1,1,
20,1,2,5.307570424280129, -0.2942708333333333, 0.3541666666666667, -0.2903645833333333, 0.3502604166666667, 0.0010408287194360055, 0,1,0,1,1,3,0,
21,1,2,2.329426864045672, -0.2903645833333333, 0.3502604166666667, -0.29296875, 0.29296875, 0.024620142670453163, 0,0,1,2,3,0,0,
22,3,2,1.2699083030456677, -0.29296875, 0.29296875, 0.11979166666666667, 0.3606770833333333, 0.32937568547526347, 0,0,2,1,0,2,0,
23,2,2,0.8288746444741264, 0.12109375, 0.3658854166666667, -0.13932291666666666, 0.2421875, 0.3478233443074788, 0,0,3,0,3,1,0,
24,1,2,0.786070930538699, -0.13932291666666666, 0.2421875, -0.2942708333333333, 0.28125, 0.20328435128289335, 0,0,4,1,3,0,0,
25,3,2,2.283959237392992, -0.2942708333333333, 0.28125, 0.1328125, 0.3059895833333333, 0.18730600312507617, 0,1,0,0,3,3,0,
26,2,2,2.168117906432599, 0.12890625, 0.38671875, -0.16796875, 0.3125, 0.1411416532022558, 0,0,1,2,1,1,0,
27,3,2,0.2855398055398837, -0.15755208333333334, 0.3072916666666667, 0.12630208333333334, 0.3346354166666667, 0.9986983789699272, 1,0,2,0,0,2,0,
28,4,2,2.4583674734458327, 0.12630208333333334, 0.3346354166666667, 0.328125, 0.3411458333333333, 0.08213902041309479, 0,0,3,1,3,3,0,
29,2,2,1.1127296155318618, 0.3229166666666667, 0.33984375, -0.09895833333333333, 0.2721354166666667, 0.383987119297297, 0,0,4,3,0,1,0,
30,1,2,0.9977230175863951, -0.09895833333333333, 0.2721354166666667, -0.2630208333333333, 0.24739583333333334, 0.16629595432094688, 0,0,5,2,2,0,0,
31,2,2,1.0613100725458935, -0.2630208333333333, 0.24739583333333334, -0.06901041666666667, 0.26171875, 0.1833002451811186, 0,0,6,2,3,1,1,
32,3,1,3.914570668595843, -0.06901041666666667, 0.26171875, 0.078125, 0.2838541666666667, 0.03800957157160439, 0,1,0,3,2,0,0,
33,1,1,3.2438287779223174, 0.078125, 0.2838541666666667, -0.2955729166666667, 0.3294270833333333, 0.11605621725438299, 0,0,1,1,1,2,0,
34,4,1,1.3826825179858133, -0.296875, 0.3294270833333333, 0.3033854166666667, 0.27734375, 0.4357585725410703, 0,0,2,3,0,0,0,
35,1,1,3.013129714759998, 0.3033854166666667, 0.27734375, -0.2838541666666667, 0.3606770833333333, 0.1968461216770241, 0,0,3,2,1,2,0,
36,2,1,1.2264045585179701, -0.2838541666666667, 0.3606770833333333, -0.08463541666666667, 0.34765625, 0.16278789292879023, 0,0,4,0,2,3,0,
37,1,1,2.471696680295281, -0.08463541666666667, 0.3489583333333333, -0.3033854166666667, 0.26171875, 0.09528044844264219, 0,0,5,3,1,1,0,
38,1,1,0.9015967505984008, -0.3033854166666667, 0.26171875, -0.2864583333333333, 0.26953125, 0.020677754399367046, 0,0,6,3,1,3,1,
39,2,0,12.012338074622676, -0.2864583333333333, 0.26953125, -0.06640625, 0.2903645833333333, 0.018400753893476885, 0,0,7,1,0,0,0,
40,4,0,1.0142766437493265, -0.06640625, 0.2903645833333333, 0.24348958333333334, 0.3138020833333333, 0.3064064064710213, 0,0,8,2,2,2,0,
41,1,0,0.9564534642267972, 0.24348958333333334, 0.3138020833333333, -0.2747395833333333, 0.22786458333333334, 0.5492230759054982, 0,0,9,0,2,2,0,
42,3,0,4.228988011484034, -0.2760416666666667, 0.22786458333333334, 0.08463541666666667, 0.26953125, 0.08585407300024749, 0,0,10,3,2,3,0,
43,1,0,0.8537752977572381, 0.08463541666666667, 0.2708333333333333, -0.3098958333333333, 0.2786458333333333, 0.46219256394567415, 0,0,11,0,0,1,0,
44,2,0,1.0412412266014144, -0.3098958333333333, 0.2786458333333333, -0.049479166666666664, 0.3125, 0.2522066561826975, 0,0,12,1,1,3,1,
45,4,1,1.3698288375744596, -0.052083333333333336, 0.3125, 0.34765625, 0.3229166666666667, 0.2919162390024406, 0,1,0,2,3,0,0,
46,4,1,3.6841274495236576, 0.3411458333333333, 0.3190104166666667, 0.3697916666666667, 0.2890625, 0.011248868937927129, 0,0,1,1,0,2,0,
47,1,1,1.6722407935885713, 0.3684895833333333, 0.2890625, -0.3229166666666667, 0.30859375, 0.41362587418808183, 0,1,0,0,3,1,0,
48,3,1,2.1042388457572088, -0.3229166666666667, 0.30859375, 0.11328125, 0.2838541666666667, 0.20762800978245957, 0,0,1,1,3,0,0,
