TrialNum,Card,Rule,RespTime,StartX, StartY, EndX, EndY,MouseVeloc,Misclicks,Error,Streak,ResponseColor,ResponseShape,ResponseCount,CategoryComplete
1,1,0,2.7426632999558933, 0.15494791666666666, -0.1484375, -0.3111979166666667, 0.24609375, 0.22266449581998807, 0,0,1,0,3,3,0,
2,4,0,2.5180572000099346, -0.3111979166666667, 0.24609375, 0.296875, 0.2981770833333333, 0.24236915274556786, 0,0,2,2,1,1,0,
3,1,0,1.0906721000210382, 0.296875, 0.2981770833333333, -0.25, 0.26171875, 0.5025240220694561, 0,0,3,0,0,2,0,
4,2,0,1.0213062999537215, -0.25, 0.26171875, -0.10416666666666667, 0.26171875, 0.1427909857600423, 0,0,4,1,3,3,0,
5,3,0,0.9857546999701299, -0.10416666666666667, 0.26171875, 0.09765625, 0.24088541666666666, 0.20582740944605876, 0,0,5,3,0,1,0,
6,4,0,1.0974372000200674, 0.09765625, 0.24088541666666666, 0.2747395833333333, 0.24739583333333334, 0.16146980409837908, 0,0,6,2,2,0,1,
7,3,2,3.2376286000362597, 0.2747395833333333, 0.24739583333333334, 0.08333333333333333, 0.3059895833333333, 0.06182731231498167, 0,1,0,2,3,1,0,
8,1,2,3.0101432999945246, 0.08333333333333333, 0.3059895833333333, -0.32421875, 0.2877604166666667, 0.13552828553924037, 0,0,1,3,2,0,0,
9,3,2,2.7722721000318415, -0.32421875, 0.2877604166666667, 0.0859375, 0.2565104166666667, 0.1483782935690195, 0,0,2,1,1,2,0,
10,1,2,2.313269200036302, 0.0859375, 0.2565104166666667, -0.2864583333333333, 0.26171875, 0.1609982329155531, 0,0,3,3,0,0,0,
11,3,2,1.363054299959913, -0.2864583333333333, 0.26171875, 0.15104166666666666, 0.23046875, 0.32178809861130864, 0,0,4,2,1,2,0,
12,4,2,1.372693800018169, 0.15104166666666666, 0.23046875, 0.25, 0.23567708333333334, 0.07219038939995144, 0,0,5,0,2,3,0,
13,2,2,1.4010618000174873, 0.25, 0.23567708333333334, -0.13932291666666666, 0.27734375, 0.2794639199706584, 0,0,6,3,1,1,1,
14,3,1,3.113126900047064, -0.13932291666666666, 0.27734375, 0.10677083333333333, 0.24739583333333334, 0.07963352884397128, 0,1,0,3,1,3,0,
15,4,1,2.9263762999908067, 0.10677083333333333, 0.24739583333333334, 0.2799479166666667, 0.2630208333333333, 0.0594183809515749, 0,0,1,1,0,0,0,
16,2,1,1.1484943000250496, 0.2799479166666667, 0.2630208333333333, -0.10026041666666667, 0.2981770833333333, 0.3324615964278364, 0,0,2,2,2,2,0,
17,2,1,0.8510663000051863, -0.10026041666666667, 0.2981770833333333, -0.10026041666666667, 0.2981770833333333, 0.0, 0,0,3,0,2,2,0,
18,2,1,0.736421599984169, -0.10026041666666667, 0.2981770833333333, -0.10026041666666667, 0.2981770833333333, 0.0, 0,0,4,3,2,3,0,
19,4,1,1.643045200034976, -0.10026041666666667, 0.2981770833333333, 0.3372395833333333, 0.2552083333333333, 0.2675550304190871, 0,0,5,0,0,1,0,
20,1,1,2.095670099952258, 0.3372395833333333, 0.2552083333333333, -0.32421875, 0.2864583333333333, 0.31598299315983785, 0,0,6,1,1,3,1,
21,4,2,2.988632900000084, -0.32421875, 0.2864583333333333, 0.3424479166666667, 0.2747395833333333, 0.22310189235278413, 0,1,0,2,3,0,0,
22,3,2,4.335551899974234, 0.3424479166666667, 0.2747395833333333, 0.12630208333333334, 0.2890625, 0.04996362008584161, 0,0,1,1,0,2,0,
23,2,2,1.5630995000246912, 0.12630208333333334, 0.2890625, -0.10026041666666667, 0.3098958333333333, 0.1455558895152286, 0,0,2,0,3,1,0,
24,1,2,1.191271500021685, -0.10026041666666667, 0.3098958333333333, -0.2721354166666667, 0.2864583333333333, 0.14561386792632353, 0,0,3,1,3,0,0,
25,4,2,2.4965364999952726, -0.2708333333333333, 0.2864583333333333, 0.3346354166666667, 0.28125, 0.2425324648850293, 0,0,4,0,3,3,0,
26,2,2,1.6103511999826878, 0.29296875, 0.2578125, -0.14453125, 0.3033854166666667, 0.2731498478956391, 0,0,5,2,1,1,0,
27,3,2,1.2654622999834828, -0.14453125, 0.3033854166666667, 0.08984375, 0.2877604166666667, 0.18562011362578135, 0,0,6,0,0,2,1,
28,3,1,4.169698900019284, 0.08984375, 0.2877604166666667, 0.08984375, 0.2877604166666667, 0.0, 0,0,7,1,3,3,0,
29,4,1,2.0838631999795325, 0.08984375, 0.2877604166666667, 0.24348958333333334, 0.2760416666666667, 0.07394539466994789, 0,0,8,3,0,1,0,
30,2,1,1.6399888999876566, 0.24348958333333334, 0.26171875, -0.10807291666666667, 0.2864583333333333, 0.2148989495283133, 0,0,9,2,2,0,0,
31,3,1,1.4561413999763317, -0.10807291666666667, 0.2864583333333333, 0.14322916666666666, 0.2565104166666667, 0.17380197670322386, 0,0,10,2,3,1,0,
32,2,1,2.0904095000005327, 0.14322916666666666, 0.2565104166666667, -0.09895833333333333, 0.2903645833333333, 0.11698291863354096, 0,0,11,3,2,0,0,
