TrialNum,Card,Rule,RespTime,StartX, StartY, EndX, EndY,MouseVeloc,Misclicks,Error,Streak,ResponseColor,ResponseShape,ResponseCount,CategoryComplete
1,4,1,0.0, 0.4244791666666667, -0.2760416666666667, 0.265625, 0.24479166666666666, 0, 0,1,0,0,3,3,0,
2,1,1,1.802485200110823, 0.265625, 0.24479166666666666, -0.23958333333333334, 0.24348958333333334, 0.28028524796870713, 0,0,1,2,1,1,0,
3,4,1,1.7735633000265807, -0.23958333333333334, 0.24479166666666666, 0.3450520833333333, 0.2877604166666667, 0.3305279940116496, 0,0,2,0,0,2,0,
4,3,1,1.1094221998937428, 0.3450520833333333, 0.2877604166666667, 0.17057291666666666, 0.2747395833333333, 0.15770762844172354, 0,0,3,1,3,3,0,
5,4,1,2.0216555998194963, 0.17057291666666666, 0.2747395833333333, 0.25390625, 0.296875, 0.04264974174256147, 0,0,4,3,0,1,0,
6,4,1,0.0, 0.25390625, 0.296875, 0.25390625, 0.296875, 0, 0,1,0,2,2,0,0,
7,4,1,0.0, 0.25390625, 0.296875, 0.25390625, 0.296875, 0, 0,2,0,2,3,1,0,
8,4,1,0.0, 0.25390625, 0.296875, 0.25390625, 0.296875, 0, 0,1,0,3,2,0,0,
9,3,1,4.747829100117087, 0.3229166666666667, 0.12369791666666667, 0.1015625, 0.24869791666666666, 0.053542341674227216, 1,1,0,1,1,2,0,
10,4,1,1.8611920999828726, 0.1015625, 0.24869791666666666, 0.3229166666666667, 0.2643229166666667, 0.11922732318178811, 0,0,1,3,0,0,0,
11,1,1,1.469851299887523, 0.3229166666666667, 0.2643229166666667, -0.2604166666666667, 0.234375, 0.39738821186554474, 0,0,2,2,1,2,0,
12,2,1,1.6145623999182135, -0.2604166666666667, 0.234375, -0.07161458333333333, 0.20442708333333334, 0.11839895924578604, 0,0,3,0,2,3,0,
13,1,1,1.3135565998964012, -0.07161458333333333, 0.20442708333333334, -0.3138020833333333, 0.24739583333333334, 0.1872547485376811, 0,0,4,3,1,1,0,
14,1,1,1.478683700086549, -0.3138020833333333, 0.24739583333333334, -0.2877604166666667, 0.23828125, 0.018658926970523276, 0,0,5,3,1,3,0,
15,4,1,1.3659819001331925, -0.2877604166666667, 0.23828125, 0.2421875, 0.3020833333333333, 0.3907626926715958, 0,0,6,1,0,0,1,
16,3,2,15.301995600108057, 0.2421875, 0.3020833333333333, 0.15625, 0.2526041666666667, 0.006480443133524103, 0,0,7,2,2,2,0,
17,3,2,2.026187000097707, 0.15625, 0.2526041666666667, 0.10026041666666667, 0.22916666666666666, 0.02995636534145554, 0,0,8,0,2,2,0,
18,4,2,2.28162520006299, 0.10026041666666667, 0.22916666666666666, 0.2630208333333333, 0.25, 0.07191730392372939, 0,0,9,3,2,3,0,
19,2,2,1.2992923001293093, 0.2630208333333333, 0.25, -0.061197916666666664, 0.23567708333333334, 0.2497782565232651, 0,0,10,0,0,1,0,
20,4,2,1.1774995001032948, -0.061197916666666664, 0.23567708333333334, 0.24348958333333334, 0.2682291666666667, 0.2602306492536887, 0,0,11,1,1,3,0,
21,1,2,0.9662303999066353, 0.24348958333333334, 0.2682291666666667, -0.3177083333333333, 0.20703125, 0.5842548865174879, 0,0,12,2,3,0,1,
22,2,1,1.860554900020361, -0.3177083333333333, 0.20703125, -0.12239583333333333, 0.24739583333333334, 0.1071937712331381, 0,1,0,1,0,2,0,
23,3,1,7.772136600222439, -0.12239583333333333, 0.24739583333333334, 0.07942708333333333, 0.24348958333333334, 0.025972358172477075, 0,0,1,0,3,1,0,
24,3,1,1.8583726999349892, 0.07942708333333333, 0.24348958333333334, 0.09505208333333333, 0.2565104166666667, 0.01094462475963609, 0,0,2,1,3,0,0,
25,3,1,1.2382616000249982, 0.09505208333333333, 0.2565104166666667, 0.10807291666666667, 0.24348958333333334, 0.014871041057098064, 0,0,3,0,3,3,0,
26,1,1,7.982796999858692, 0.10807291666666667, 0.24348958333333334, -0.3346354166666667, 0.234375, 0.055469549080819504, 0,0,4,2,1,1,0,
27,4,1,1.4929563000332564, -0.3346354166666667, 0.234375, 0.2838541666666667, 0.24479166666666666, 0.4143304773208328, 0,0,5,0,0,2,0,
28,3,1,1.1480221999809146, 0.2838541666666667, 0.24479166666666666, 0.09244791666666667, 0.2552083333333333, 0.1669736762515081, 0,0,6,1,3,3,1,
29,4,0,1.8240449000149965, 0.09244791666666667, 0.2552083333333333, 0.3541666666666667, 0.2630208333333333, 0.14354653688153385, 0,1,0,3,0,1,0,
30,2,0,2.5338653998915106, 0.3541666666666667, 0.2630208333333333, -0.05078125, 0.22526041666666666, 0.1605075944910903, 0,2,0,2,2,0,0,
31,3,0,1.038203899981454, -0.05078125, 0.22526041666666666, 0.07161458333333333, 0.2591145833333333, 0.12231847131672932, 0,2,0,2,3,1,0,
32,3,0,2.069015699904412, 0.07161458333333333, 0.2591145833333333, 0.09244791666666667, 0.2265625, 0.018679401112111384, 0,0,1,3,2,0,0,
33,2,0,2.276382900075987, 0.09244791666666667, 0.2265625, -0.08203125, 0.23567708333333334, 0.07675205781155307, 0,0,2,1,1,2,0,
34,3,0,1.0343129001557827, -0.08203125, 0.23567708333333334, 0.08854166666666667, 0.22526041666666666, 0.16522145938861774, 0,0,3,3,0,0,0,
35,4,0,1.4253576998598874, 0.08854166666666667, 0.22526041666666666, 0.234375, 0.2643229166666667, 0.10592029111111063, 0,0,4,2,1,2,0,
36,1,0,2.181923700030893, 0.234375, 0.2643229166666667, -0.2890625, 0.24348958333333334, 0.24008718986333927, 0,0,5,0,2,3,0,
