TrialNum,Card,Rule,RespTime,StartX, StartY, EndX, EndY,MouseVeloc,Misclicks,Error,Streak,ResponseColor,ResponseShape,ResponseCount,CategoryComplete
1,4,1,0.8887589999940246, -0.055989583333333336, -0.05078125, 0.2682291666666667, 0.2565104166666667, 0.5026173371151261, 0,1,0,0,3,3,0,
2,4,1,0.7967454000026919, 0.23567708333333334, 0.07552083333333333, 0.26953125, 0.2786458333333333, 0.2584600507185548, 0,1,0,2,1,1,0,
3,4,1,0.8732604999677278, 0.24088541666666666, 0.03125, 0.2526041666666667, 0.25, 0.2508571843204304, 0,0,1,0,0,2,0,
4,3,1,0.8108512000180781, 0.2513020833333333, 0.12760416666666666, 0.10026041666666667, 0.23177083333333334, 0.2262786079181337, 0,0,2,1,3,3,0,
5,4,1,1.2432242999784648, 0.11197916666666667, 0.08203125, 0.2734375, 0.2265625, 0.17430331836964666, 0,0,3,3,0,1,0,
6,2,1,1.3876677000080235, 0.078125, 0.005208333333333333, -0.11848958333333333, 0.24739583333333334, 0.22480082314629882, 0,0,4,2,2,0,0,
7,3,1,0.8994133999804035, 0.046875, 0.033854166666666664, 0.08203125, 0.29296875, 0.29073246956137194, 0,0,5,2,3,1,0,
8,2,1,1.2260470999754034, 0.040364583333333336, -0.00390625, -0.109375, 0.20572916666666666, 0.21012383638615678, 0,0,6,3,2,0,1,
9,2,2,1.2841320000006817, -0.024739583333333332, -0.048177083333333336, -0.07682291666666667, 0.3046875, 0.2777655734626592, 0,1,0,1,1,2,0,
10,1,2,0.951183500001207, -0.0390625, 0.033854166666666664, -0.3203125, 0.23567708333333334, 0.3639366679689585, 0,0,1,3,0,0,0,
11,3,2,1.072158400027547, -0.1171875, 0.059895833333333336, 0.0859375, 0.22265625, 0.242771667484077, 0,0,2,2,1,2,0,
12,4,2,0.8573101999936625, 0.05078125, 0.029947916666666668, 0.28125, 0.24739583333333334, 0.36959633579612855, 0,0,3,0,2,3,0,
13,2,2,0.8903564999927767, 0.02734375, -0.06510416666666667, -0.10416666666666667, 0.20442708333333334, 0.3368352547539494, 0,0,4,3,1,1,0,
14,4,2,0.771068700007163, -0.07421875, 0.04296875, 0.2604166666666667, 0.30078125, 0.5478516165184593, 0,0,5,3,1,3,0,
15,1,2,0.8274091000203043, 0.1171875, 0.09505208333333333, -0.26171875, 0.2630208333333333, 0.5009222974756218, 0,0,6,1,0,0,1,
16,4,1,2.931888799997978, -0.020833333333333332, 0.032552083333333336, 0.2630208333333333, 0.21744791666666666, 0.11554392771147005, 0,1,0,2,2,2,0,
17,3,1,1.254245100019034, 0.057291666666666664, -0.07291666666666667, 0.125, 0.21223958333333334, 0.23367399871281302, 0,1,0,0,2,2,0,
18,2,1,0.997815900016576, 0.06640625, -0.032552083333333336, -0.08072916666666667, 0.22265625, 0.2952294746507338, 0,0,1,3,2,3,0,
19,4,1,0.8788534000050277, -0.03515625, -0.040364583333333336, 0.296875, 0.234375, 0.4903662873946661, 0,0,2,0,0,1,0,
20,1,1,1.4329618000192568, 0.036458333333333336, -0.018229166666666668, -0.2734375, 0.22395833333333334, 0.27447121522742335, 0,0,3,1,1,3,0,
21,3,1,1.9559029000229202, 0.053385416666666664, -0.06510416666666667, 0.09505208333333333, 0.19921875, 0.1368098779808807, 0,0,4,2,3,0,0,
22,4,1,0.9070547000155784, 0.06510416666666667, 0.01171875, 0.30859375, 0.23177083333333334, 0.36182179981653134, 0,0,5,1,0,2,0,
23,3,1,1.9435932000051253, 0.0, -0.15364583333333334, 0.0390625, 0.234375, 0.20065006908542135, 0,0,6,0,3,1,1,
24,2,2,3.300102600012906, -0.0390625, -0.02734375, -0.08333333333333333, 0.21223958333333334, 0.07382777799314875, 0,1,0,1,3,0,0,
25,4,2,1.325774500030093, -0.045572916666666664, -0.013020833333333334, 0.3255208333333333, 0.20963541666666666, 0.32642501491447196, 0,0,1,0,3,3,0,
26,2,2,0.689353600027971, 0.08984375, 0.03515625, -0.07682291666666667, 0.21484375, 0.35552492216389947, 0,0,2,2,1,1,0,
27,3,2,0.6780734999920242, -0.014322916666666666, 0.005208333333333333, 0.07942708333333333, 0.21875, 0.3439372289272085, 0,0,3,0,0,2,0,
28,4,2,0.7580281000118703, 0.006510416666666667, -0.016927083333333332, 0.23828125, 0.22916666666666666, 0.44596372189458433, 0,0,4,1,3,3,0,
29,2,2,0.6948219999903813, -0.028645833333333332, -0.032552083333333336, -0.1015625, 0.19791666666666666, 0.34789994526789686, 0,0,5,3,0,1,0,
30,1,2,0.7874632999883033, -0.0703125, -0.057291666666666664, -0.2760416666666667, 0.203125, 0.42144881429254705, 0,0,6,2,2,0,1,
31,2,0,1.4851338000153191, -0.09505208333333333, -0.02734375, -0.06901041666666667, 0.22916666666666666, 0.17360653963926104, 0,1,0,2,3,1,0,
32,1,0,2.402364299981855, -0.040364583333333336, -0.06640625, -0.2682291666666667, 0.23046875, 0.15578068062286562, 0,2,0,3,2,0,0,
33,1,0,2.5139920000219718, -0.12630208333333334, 0.028645833333333332, -0.29296875, 0.23046875, 0.10411515264218404, 0,1,0,1,1,2,0,
34,3,0,0.7704637999995612, -0.13802083333333334, 0.07942708333333333, 0.08723958333333333, 0.2565104166666667, 0.37189587076002417, 0,0,1,3,0,0,0,
35,4,0,1.1577118000132032, -0.0546875, -0.059895833333333336, 0.2421875, 0.22135416666666666, 0.3532359135104144, 0,0,2,2,1,2,0,
36,1,0,1.3944563000113703, 0.0625, -0.057291666666666664, -0.2747395833333333, 0.22135416666666666, 0.31371595050429263, 0,0,3,0,2,3,0,
37,3,0,1.7627711999812163, -0.01953125, -0.010416666666666666, 0.057291666666666664, 0.22395833333333334, 0.13991848777511443, 0,0,4,3,1,1,0,
38,3,0,2.063101399980951, 0.013020833333333334, -0.09375, 0.125, 0.20833333333333334, 0.15615822678619165, 0,0,5,3,1,3,0,
39,2,0,1.2745420000283048, 0.0078125, 0.009114583333333334, -0.07291666666666667, 0.20703125, 0.1677057286682417, 0,0,6,1,0,0,1,
40,3,1,1.9152304999879561, 0.028645833333333332, -0.053385416666666664, 0.10546875, 0.23697916666666666, 0.15682466199993417, 0,1,0,2,2,2,0,
41,2,1,0.8819985999725759, 0.05859375, 0.015625, -0.06640625, 0.19401041666666666, 0.24696393697202276, 0,0,1,0,2,2,0,
42,2,1,0.5740271999966353, -0.040364583333333336, -0.0078125, -0.06640625, 0.2109375, 0.3837703956413956, 0,0,2,3,2,3,0,
43,4,1,0.8496375000104308, -0.0390625, -0.014322916666666666, 0.27734375, 0.25390625, 0.488209285925531, 0,0,3,0,0,1,0,
44,1,1,1.1031235000118613, 0.0703125, 0.0, -0.29296875, 0.23307291666666666, 0.3912712350687137, 0,0,4,1,1,3,0,
45,3,1,1.0606840000255033, -0.037760416666666664, 0.0625, 0.08203125, 0.18880208333333334, 0.16411621408975566, 0,0,5,2,3,0,0,
46,4,1,2.218714300019201, 0.0625, 0.009114583333333334, 0.3033854166666667, 0.28125, 0.16380337690176366, 0,0,6,1,0,2,1,
47,1,0,1.548270399973262, 0.22916666666666666, 0.0078125, -0.2643229166666667, 0.2265625, 0.34864680540962045, 0,0,7,0,3,1,0,
48,2,0,0.6763320000027306, -0.06380208333333333, -0.009114583333333334, -0.08854166666666667, 0.25390625, 0.3906095918847091, 0,0,8,1,3,0,0,
