TrialNum,Card,Rule,RespTime,StartX, StartY, EndX, EndY,MouseVeloc,Misclicks,Error,Streak,ResponseColor,ResponseShape,ResponseCount,CategoryComplete
1,4,0,2.491925199981779, -0.052083333333333336, -0.10026041666666667, 0.3072916666666667, 0.30859375, 0.21844379155883914, 0,1,0,0,3,3,0,
2,1,0,2.944430099974852, 0.3072916666666667, 0.30859375, -0.3333333333333333, 0.26171875, 0.2181534721191677, 0,1,0,2,1,1,0,
3,1,0,2.1295368000282906, -0.3333333333333333, 0.26171875, -0.3255208333333333, 0.2565104166666667, 0.004409154350559266, 0,0,1,0,0,2,0,
4,4,0,3.9075213000178337, -0.3255208333333333, 0.2565104166666667, 0.265625, 0.3072916666666667, 0.1518412598962252, 0,1,0,1,3,3,0,
5,2,0,2.6117964000441134, 0.265625, 0.3072916666666667, -0.11588541666666667, 0.2734375, 0.14664601472343658, 0,2,0,3,0,1,0,
6,2,0,3.9568603000370786, -0.11588541666666667, 0.2734375, -0.07942708333333333, 0.2903645833333333, 0.01015861526854628, 0,1,0,2,2,0,0,
7,1,0,0.5897258999757469, -0.07942708333333333, 0.2903645833333333, -0.28515625, 0.2942708333333333, 0.3489184517505478, 0,1,0,2,3,1,0,
8,4,0,0.7984551000408828, -0.28515625, 0.2942708333333333, 0.3033854166666667, 0.3268229166666667, 0.7382271122666774, 0,1,0,3,2,0,0,
9,3,0,2.4463359999936074, 0.3033854166666667, 0.3268229166666667, 0.078125, 0.30078125, 0.09269402039820729, 0,1,0,1,1,2,0,
10,3,0,1.6503979999688454, 0.078125, 0.30078125, 0.078125, 0.30078125, 0.0, 0,0,1,3,0,0,0,
11,4,0,2.05462529999204, 0.078125, 0.30078125, 0.2552083333333333, 0.30859375, 0.0862714890728675, 0,0,2,2,1,2,0,
12,1,0,1.720385599997826, 0.2552083333333333, 0.30859375, -0.2513020833333333, 0.2994791666666667, 0.2944644606701758, 0,0,3,0,2,3,0,
13,3,0,1.7883077000151388, -0.2513020833333333, 0.2994791666666667, 0.07161458333333333, 0.2955729166666667, 0.1805842989502111, 0,0,4,3,1,1,0,
14,3,0,3.9419830000260845, 0.07161458333333333, 0.2955729166666667, 0.07161458333333333, 0.2955729166666667, 0.0, 0,0,5,3,1,3,0,
15,1,0,4.923443600011524, 0.07161458333333333, 0.2955729166666667, -0.328125, 0.26171875, 0.08148170642490704, 0,1,0,1,0,0,0,
16,3,0,2.8819991999771446, -0.328125, 0.26171875, 0.11848958333333333, 0.265625, 0.15497286249633016, 0,2,0,2,2,2,0,
17,1,0,2.2761177999782376, 0.11848958333333333, 0.265625, -0.265625, 0.2421875, 0.16907251523101346, 0,0,1,0,2,2,0,
18,3,0,1.9321446000249125, -0.265625, 0.2421875, 0.06770833333333333, 0.24088541666666666, 0.1725211852419558, 0,0,2,3,2,3,0,
19,1,0,15.275522500043735, 0.06770833333333333, 0.24088541666666666, -0.3125, 0.2578125, 0.02491469266056217, 0,0,3,0,0,1,0,
20,2,0,1.8064833999960683, -0.3125, 0.2578125, -0.061197916666666664, 0.2578125, 0.13911120541372274, 0,0,4,1,1,3,0,
21,4,0,0.9447787000099197, -0.061197916666666664, 0.2578125, 0.2604166666666667, 0.2421875, 0.3408141126417475, 0,0,5,2,3,0,0,
22,2,0,1.357001600030344, 0.2604166666666667, 0.2421875, -0.13541666666666666, 0.21875, 0.2922079086591906, 0,0,6,1,0,2,1,
23,1,2,3.242833200027235, -0.13541666666666666, 0.21875, -0.3255208333333333, 0.21223958333333334, 0.058657230268590044, 0,1,0,0,3,1,0,
24,3,2,4.762525200028904, -0.3255208333333333, 0.21223958333333334, 0.1484375, 0.24088541666666666, 0.09969988505209015, 0,1,0,1,3,0,0,
25,1,2,1.967453800025396, 0.1484375, 0.24088541666666666, -0.2734375, 0.234375, 0.2144524215514325, 0,1,0,0,3,3,0,
26,2,2,3.5299065999570303, -0.2721354166666667, 0.23697916666666666, -0.14322916666666666, 0.28515625, 0.03898541415720511, 0,0,1,2,1,1,0,
27,3,2,11.271406999963801, -0.14322916666666666, 0.28515625, 0.10286458333333333, 0.2903645833333333, 0.021838343559853802, 0,0,2,0,0,2,0,
28,4,2,1.7184685000102036, 0.10286458333333333, 0.2903645833333333, 0.24739583333333334, 0.3125, 0.08508534172618945, 0,0,3,1,3,3,0,
29,2,2,2.0845059000421315, 0.24739583333333334, 0.3125, -0.07291666666666667, 0.2942708333333333, 0.1539121557731488, 0,0,4,3,0,1,0,
30,1,2,2.8064561000210233, -0.07291666666666667, 0.29296875, -0.3033854166666667, 0.23307291666666666, 0.084848882524735, 0,0,5,2,2,0,0,
31,2,2,1.4187373000313528, -0.3033854166666667, 0.23307291666666666, -0.11328125, 0.2955729166666667, 0.1410511851880952, 0,0,6,2,3,1,1,
32,2,0,5.9915951999719255, -0.11328125, 0.2955729166666667, -0.06640625, 0.2942708333333333, 0.007826476829373437, 0,1,0,3,2,0,0,
33,2,0,1.7642741000163369, -0.06640625, 0.2942708333333333, -0.09244791666666667, 0.2903645833333333, 0.014925688559368513, 0,0,1,1,1,2,0,
34,3,0,2.0787296000053175, -0.09244791666666667, 0.2903645833333333, 0.14192708333333334, 0.234375, 0.1159216962726049, 0,0,2,3,0,0,0,
35,4,0,0.9245875999913551, 0.14192708333333334, 0.234375, 0.2643229166666667, 0.24869791666666666, 0.13328215387360556, 0,0,3,2,1,2,0,
36,1,0,1.665416500007268, 0.2643229166666667, 0.24869791666666666, -0.24739583333333334, 0.24348958333333334, 0.30727764185385187, 0,0,4,0,2,3,0,
37,3,0,1.2641953999991529, -0.24739583333333334, 0.24348958333333334, 0.037760416666666664, 0.2734375, 0.22680397734631524, 0,0,5,3,1,1,0,
38,3,0,0.6131336999824271, 0.037760416666666664, 0.2734375, 0.037760416666666664, 0.2734375, 0.0, 0,0,6,3,1,3,1,
39,2,2,1.1336657999781892, 0.037760416666666664, 0.2734375, -0.040364583333333336, 0.2591145833333333, 0.07006216764663928, 0,1,0,1,0,0,0,
40,4,2,2.6424625999643467, -0.040364583333333336, 0.2591145833333333, 0.3229166666666667, 0.2799479166666667, 0.13770417459220952, 0,2,0,2,2,2,0,
41,3,2,4.373552899982315, 0.3229166666666667, 0.2799479166666667, 0.1171875, 0.2682291666666667, 0.04711562040005339, 0,0,1,0,2,2,0,
42,4,2,1.3797172000049613, 0.1171875, 0.2682291666666667, 0.2955729166666667, 0.2916666666666667, 0.13040246107059789, 0,0,2,3,2,3,0,
43,2,2,1.3709192000096664, 0.2955729166666667, 0.2916666666666667, -0.037760416666666664, 0.23697916666666666, 0.24639645389213335, 0,0,3,0,0,1,0,
44,4,2,1.3864249999751337, -0.037760416666666664, 0.23697916666666666, 0.2708333333333333, 0.28515625, 0.22527851774096466, 0,0,4,1,1,3,0,
45,1,2,1.7662917000125162, 0.2708333333333333, 0.28515625, -0.2643229166666667, 0.234375, 0.3043439428097422, 0,0,5,2,3,0,0,
46,3,2,2.033790100016631, -0.2643229166666667, 0.234375, 0.10546875, 0.22916666666666666, 0.18184194290677996, 0,0,6,1,0,2,1,
47,3,1,12.854367700056173, 0.10546875, 0.22916666666666666, 0.10416666666666667, 0.2747395833333333, 0.0035467722043092758, 0,0,7,0,3,1,0,
48,3,1,1.6912464000051841, 0.10416666666666667, 0.2747395833333333, 0.10416666666666667, 0.2747395833333333, 0.0, 0,0,8,1,3,0,0,
