Session,Time,Avg_Resp_Time,Low_Resp_Time,High_Resp_Time,Std_Dev_Resp_Time,Avg_Rule_Chg_Resp_Time,Low_Start_Y,High_Start_Y,Low_End_Y,High_End_Y,Avg_Start_Y,Avg_End_Y,Avg_Between_T_Y,Avg_Between_T_X,Std_Dev_Start_Y,Std_Dev_End_Y,Std_Dev_Between_Y,Std_Dev_Between_X,Low_Velocity,High_Velocity,Avg_Velocity,Std_Dev_Velocity,Misclicks,Non_Pers_Errs,Pers_Errs,Non_Rule_Chg_Errs,Categories_Comp,High_Streak,Avg_Streak,Best_Rule,Worst_Rule,
1, 163.855, 3.414,0.991, 14.569,3.377, 8.766,-0.129, 0.326,0.217, 0.326,0.259, 0.267,-0.0, 0.0,0.063, 0.028,0.001, 0.0,0.0, 0.535,0.149, 0.129,0, 6,0, 0,7, 12,5.312, 0, 2,
2, 104.092, 2.169,0.401, 8.355,1.5, 3.266,-0.199, 0.345,0.227, 0.345,0.26, 0.274,0.004, 0.001,0.077, 0.026,0.026, 0.008,0.0, 1.734,0.197, 0.259,1, 4,0, 0,7, 30,10.625, 1, 0,
3, 96.819, 2.017,0.736, 5.017,1.029, 3.727,-0.148, 0.31,0.23, 0.31,0.261, 0.27,0.001, 0.001,0.063, 0.021,0.004, 0.006,0.0, 0.503,0.173, 0.122,0, 3,0, 0,7, 27,9.188, 0, 2,
4, 92.974, 1.937,0.92, 6.565,1.156, 3.642,-0.121, 0.312,0.24, 0.312,0.276, 0.286,0.001, -0.001,0.061, 0.018,0.007, 0.006,0.0, 0.612,0.183, 0.149,0, 6,0, 0,6, 12,4.458, 2, 1,
5, 89.614, 1.867,0.811, 6.887,1.402, 3.93,0.052, 0.328,0.25, 0.327,0.287, 0.293,-0.0, 0.0,0.038, 0.017,0.001, 0.0,0.0, 0.589,0.206, 0.148,0, 5,0, 0,7, 12,5.333, 0, 1,
