Session,Time,Avg_Resp_Time,Low_Resp_Time,High_Resp_Time,Std_Dev_Resp_Time,Avg_Rule_Chg_Resp_Time,Low_Start_Y,High_Start_Y,Low_End_Y,High_End_Y,Avg_Start_Y,Avg_End_Y,Avg_Between_T_Y,Avg_Between_T_X,Std_Dev_Start_Y,Std_Dev_End_Y,Std_Dev_Between_Y,Std_Dev_Between_X,Low_Velocity,High_Velocity,Avg_Velocity,Std_Dev_Velocity,Misclicks,Non_Pers_Errs,Pers_Errs,Non_Rule_Chg_Errs,Categories_Comp,High_Streak,Avg_Streak,Best_Rule,Worst_Rule,
1, 170.111, 3.544,1.04, 34.235,4.962, 8.431,-0.129, 0.426,0.22, 0.333,0.268, 0.273,-0.003, -0.001,0.067, 0.027,0.023, 0.006,0.0, 0.392,0.131, 0.085,0, 15,2, 0,2, 12,2.562, 1, 0,
2, 143.565, 2.991,0.395, 11.729,2.44, 5.965,-0.168, 0.332,0.207, 0.332,0.273, 0.282,-0.0, -0.0,0.071, 0.03,0.0, 0.001,0.0, 0.826,0.152, 0.167,3, 9,20, 0,3, 12,2.083, 0, 2,
3, 107.073, 2.231,0.0, 7.601,1.386, 2.153,0.201, 0.318,0.212, 0.318,0.276, 0.276,-0.0, 0.0,0.025, 0.023,0.002, 0.003,0.0, 0.496,0.141, 0.12,0, 11,4, 0,3, 11,2.792, 0, 1,
4, 142.166, 2.962,0.59, 15.276,2.9, 5.806,-0.1, 0.327,0.212, 0.327,0.263, 0.271,-0.0, -0.0,0.06, 0.028,0.0, 0.0,0.0, 0.738,0.144, 0.132,0, 13,3, 0,4, 8,2.396, 1, 0,
5, 113.775, 2.37,0.914, 7.001,1.126, 1.774,0.214, 0.477,0.214, 0.345,0.273, 0.27,0.0, 0.001,0.041, 0.028,0.002, 0.003,0.001, 0.451,0.158, 0.118,0, 14,6, 0,3, 6,1.812, 1, 0,
