Session,Time,Avg_Resp_Time,Low_Resp_Time,High_Resp_Time,Std_Dev_Resp_Time,Avg_Rule_Chg_Resp_Time,Low_Start_Y,High_Start_Y,Low_End_Y,High_End_Y,Avg_Start_Y,Avg_End_Y,Avg_Between_T_Y,Avg_Between_T_X,Std_Dev_Start_Y,Std_Dev_End_Y,Std_Dev_Between_Y,Std_Dev_Between_X,Low_Velocity,High_Velocity,Avg_Velocity,Std_Dev_Velocity,Misclicks,Non_Pers_Errs,Pers_Errs,Non_Rule_Chg_Errs,Categories_Comp,High_Streak,Avg_Streak,Best_Rule,Worst_Rule,
1, 67.874, 1.414,0.63, 4.485,0.922, 2.693,-0.107, 0.299,0.258, 0.314,0.229, 0.286,0.056, -0.032,0.087, 0.015,0.089, 0.13,0.005, 0.724,0.266, 0.183,0, 8,0, 0,6, 12,4.333, 2, 1,
2, 83.148, 1.732,0.393, 10.617,1.866, 3.354,0.04, 0.318,0.263, 0.34,0.245, 0.296,0.05, -0.11,0.061, 0.018,0.068, 0.18,0.006, 0.624,0.249, 0.17,1, 5,0, 0,7, 12,4.708, 0, 1,
3, 55.836, 1.163,0.624, 3.417,0.594, 2.055,0.023, 0.309,0.263, 0.323,0.239, 0.294,0.056, -0.123,0.063, 0.014,0.064, 0.178,0.044, 0.746,0.317, 0.166,0, 7,0, 0,6, 12,4.438, 2, 1,
4, 61.454, 1.28,0.597, 4.923,0.864, 2.117,0.033, 0.435,0.26, 0.344,0.257, 0.297,0.044, -0.102,0.067, 0.017,0.063, 0.149,0.005, 0.911,0.298, 0.22,0, 6,0, 0,7, 12,4.562, 0, 1,
5, 70.018, 1.459,0.621, 4.066,0.785, 1.795,-0.072, 0.31,0.251, 0.316,0.266, 0.29,0.016, -0.003,0.056, 0.014,0.022, 0.064,0.005, 0.716,0.204, 0.169,0, 9,1, 0,5, 18,4.792, 2, 1,
