Session,Time,Avg_Resp_Time,Low_Resp_Time,High_Resp_Time,Std_Dev_Resp_Time,Avg_Rule_Chg_Resp_Time,Low_Start_Y,High_Start_Y,Low_End_Y,High_End_Y,Avg_Start_Y,Avg_End_Y,Avg_Between_T_Y,Avg_Between_T_X,Std_Dev_Start_Y,Std_Dev_End_Y,Std_Dev_Between_Y,Std_Dev_Between_X,Low_Velocity,High_Velocity,Avg_Velocity,Std_Dev_Velocity,Misclicks,Non_Pers_Errs,Pers_Errs,Non_Rule_Chg_Errs,Categories_Comp,High_Streak,Avg_Streak,Best_Rule,Worst_Rule
1,68.01,1.417,0.519,4.683,0.812,2.176,0.068,0.293,0.216,0.307,0.245,0.252,0.005,0.005,0.033,0.02,0.023,0.028,0,0.609,0.232,0.171,0,5,1,0,7,24,8.312,0,1
2,60.938,1.27,0.207,2.486,0.474,1.882,0.137,0.378,0.233,0.301,0.27,0.275,0.007,-0.016,0.033,0.016,0.023,0.085,0,0.467,0.204,0.132,1,8,2,0,6,12,3.438,0,2
3,59.113,1.232,0.23,2.667,0.507,1.728,-0.174,0.293,0.221,0.293,0.255,0.264,0,-0.009,0.064,0.015,0.002,0.037,0,1.194,0.229,0.222,2,9,0,0,5,12,3.5,0,1
4,50.747,1.057,0.196,2.428,0.448,1.751,0.102,0.314,0.217,0.314,0.261,0.273,0.009,-0.002,0.042,0.022,0.029,0.046,0,2.012,0.304,0.33,3,6,0,0,6,24,8.083,2,0
5,58.073,1.21,0.193,2.935,0.55,1.782,0.238,0.329,0.238,0.32,0.281,0.281,0.001,0,0.017,0.016,0.003,0.011,0,2.62,0.318,0.387,3,6,0,0,6,12,3.625,1,2
